Depth (m),GR,RHOB,NPHI,RESD,DT,DTs,Porosity
616.001,104.638,2.663,0.129,19.841,71.991,162.778,0.00716417910447762
616.153,102.528,2.654,0.131,20.287,71.613,161.923,0.0125373134328358
616.306,99.254,2.634,0.128,20.183,70.83,160.152,0.0244776119402985
616.458,97.172,2.648,0.124,19.741,70.163,158.646,0.0161194029850744
616.61,95.056,2.664,0.118,19.241,69.291,156.674,0.00656716417910429
616.763,90.259,2.639,0.11,18.752,68.946,155.893,0.0214925373134329
616.915,88.342,2.613,0.107,18.612,69.323,155.299,0.0370149253731342
617.068,88.537,2.638,0.107,18.705,69.294,155.402,0.0220895522388059
617.22,89.109,2.664,0.11,18.581,69.41,156.159,0.00656716417910429
617.525,86.037,2.671,0.111,18.327,73.536,162.649,0.00238805970149254
617.677,89.761,2.641,0.113,18.215,76.975,173.815,0.0202985074626865
617.83,94.643,2.652,0.112,16.986,74.788,169.102,0.0137313432835819
617.982,97.146,2.651,0.109,17.263,71.832,162.418,0.0143283582089552
618.134,94.166,2.637,0.105,19.81,64.523,145.893,0.022686567164179
618.287,89.936,2.629,0.104,20.603,58.767,132.831,0.0274626865671641
618.439,87.886,2.636,0.105,20.175,59.427,132.792,0.0232835820895521
618.592,89.367,2.643,0.11,20.086,62.615,141.077,0.0191044776119403
618.744,90.908,2.639,0.117,19.978,66.49,150.34,0.0214925373134329
618.896,90.69,2.653,0.125,19.667,68.539,154.973,0.0131343283582088
619.049,88.706,2.666,0.125,19.177,68.012,152.672,0.00537313432835815
619.506,89.631,2.659,0.108,18.971,67.38,152.037,0.00955223880597016
619.658,87.758,2.636,0.105,19.672,67.902,151.621,0.0232835820895521
619.811,80.711,2.632,0.103,21.349,69.199,148.701,0.0256716417910446
619.963,74.763,2.616,0.105,23.062,70.222,146.252,0.0352238805970148
620.116,71.779,2.616,0.106,24.493,70.338,144.264,0.0352238805970148
620.268,72.245,2.65,0.101,25.87,70.859,145.679,0.0149253731343283
620.42,75.435,2.649,0.094,26.751,70.975,148.337,0.0155223880597014
620.573,75.969,2.657,0.091,25.661,70.831,148.447,0.0107462686567163
620.725,74.33,2.65,0.101,24.482,70.042,145.551,0.0149253731343283
620.878,74.164,2.636,0.114,25.18,68.771,142.787,0.0232835820895521
621.03,76.349,2.627,0.125,26.063,68.134,143.077,0.0286567164179105
621.182,80.955,2.64,0.131,26.335,67.232,144.663,0.0208955223880595
621.944,87.928,2.665,0.156,21.336,64.91,145.077,0.00597014925373122
622.097,92.263,2.637,0.147,20.516,63.992,144.693,0.022686567164179
622.249,93.768,2.62,0.131,20.467,62.508,141.337,0.0328358208955222
622.402,83.772,2.598,0.105,20.321,63.405,138.514,0.0459701492537313
622.554,65.717,2.574,0.078,19.522,64.162,127.65,0.0602985074626866
622.706,51.685,2.562,0.06,17.837,64.133,119.312,0.0674626865671642
622.859,48.366,2.559,0.054,15.861,64.795,118.721,0.0692537313432834
623.011,49.786,2.544,0.054,14.257,64.294,118.57,0.0782089552238805
623.164,48.655,2.543,0.053,13.042,63.147,115.854,0.0788059701492535
623.316,44.275,2.527,0.051,12.543,63.523,114.263,0.0883582089552237
623.468,40.645,2.483,0.051,12.638,63.872,113.054,0.114626865671642
623.621,39.411,2.483,0.052,12.73,63.93,112.546,0.114626865671642
623.773,39.574,2.483,0.055,12.529,63.872,112.524,0.114626865671642
623.926,41.373,2.474,0.058,12.116,68.759,122.096,0.114714714714715
624.078,42.306,2.485,0.063,11.852,73.263,130.631,0.108108108108108
624.23,42.094,2.491,0.064,11.34,73.148,130.304,0.104504504504504
624.383,40.769,2.485,0.064,10.306,72.59,128.555,0.108108108108108
